,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sémbé,1.6481,14.5806,79.3,70,93,2.55,CG,1627236000
1,Cape Town,-33.9258,18.4232,61.29,46,33,6.49,ZA,1627236000
2,Ushuaia,-54.8,-68.3,36.7,85,60,5.59,AR,1627236000
3,Castro,-24.7911,-50.0119,70.07,41,1,7.7,BR,1627236000
4,Contamana,-7.3333,-75.0167,94.77,44,97,1.9,PE,1627236000
5,Provideniya,64.3833,-173.3,46.72,99,100,6.67,RU,1627236000
6,Nanortalik,60.1432,-45.2371,45.28,75,100,12.97,GL,1627236000
7,Puerto del Rosario,28.5004,-13.8627,77.29,66,0,16.64,ES,1627236000
8,Bredasdorp,-34.5322,20.0403,58.73,56,100,4.61,ZA,1627236000
9,Grants,35.1473,-107.8514,73.92,55,72,11.97,US,1627236000
10,Port Elizabeth,-33.918,25.5701,63.91,42,15,4.97,ZA,1627236000
11,Bonthe,7.5264,-12.505,80.08,75,92,8.79,SL,1627236000
12,Puerto Ayora,-0.7393,-90.3518,73.78,80,36,11.23,EC,1627236000
13,Thompson,55.7435,-97.8558,64.81,47,41,10.67,CA,1627236000
14,Marivan,35.5219,46.176,91.62,14,0,1.23,IR,1627236000
15,Bethel,41.3712,-73.414,75.72,84,93,6.04,US,1627236000
16,Lima,-12.0432,-77.0282,65.3,71,73,8.05,PE,1627236000
17,George Town,5.4112,100.3354,83.79,79,41,3.62,MY,1627236000
18,Hermanus,-34.4187,19.2345,61.16,55,100,7.9,ZA,1627236000
19,Vaini,-21.2,-175.2,75.09,94,32,4.18,TO,1627236000
20,Hilo,19.7297,-155.09,78.12,90,73,4.68,US,1627236000
21,New Norfolk,-42.7826,147.0587,41.31,76,72,7.34,AU,1627236000
22,Souillac,-20.5167,57.5167,71.26,62,27,14.56,MU,1627236000
23,Ambon City,-3.6954,128.1814,78.64,86,59,10.71,ID,1627236000
24,Pahrump,36.2083,-115.9839,91.08,30,89,7.52,US,1627236000
25,Doha,25.2867,51.5333,96.26,68,12,4.21,QA,1627236000
26,Southbridge,42.0751,-72.0334,69.73,93,95,8.34,US,1627236000
27,Okhotsk,59.3833,143.3,55.76,97,100,5.79,RU,1627236000
28,Albany,42.6001,-73.9662,77.0,79,95,6.62,US,1627236000
29,Punta Arenas,-53.15,-70.9167,39.96,79,42,16.06,CL,1627236000
30,Ji’an,27.1172,114.9793,80.91,73,67,1.88,CN,1627236000
31,La Ronge,55.1001,-105.2842,60.66,77,82,4.97,CA,1627236000
32,Butaritari,3.0707,172.7902,81.95,76,13,10.31,KI,1627236000
33,Batemans Bay,-35.7167,150.1833,54.77,61,78,13.73,AU,1627236000
34,Rikitea,-23.1203,-134.9692,70.34,65,96,3.91,PF,1627236000
35,Gigmoto,13.7796,124.39,80.89,85,89,9.46,PH,1627236000
36,Columbus,39.9612,-82.9988,86.5,74,93,5.12,US,1627236000
37,Ilulissat,69.2167,-51.1,50.74,50,52,7.36,GL,1627236000
38,Port Alfred,-33.5906,26.891,63.79,47,32,11.43,ZA,1627236000
39,Calnali,20.9167,-98.5833,75.76,61,4,6.53,MX,1627236000
40,Busselton,-33.65,115.3333,60.06,66,30,19.44,AU,1627236000
41,East London,-33.0153,27.9116,64.17,54,6,8.9,ZA,1627236000
42,Bystryy Istok,52.371,84.3873,71.55,67,11,4.94,RU,1627236000
43,Coyhaique,-45.5752,-72.0662,42.3,56,51,8.77,CL,1627236000
44,Jalu,29.0331,21.5482,93.36,20,0,7.74,LY,1627236000
45,Lielvārde,56.7207,24.8074,75.0,42,1,3.11,LV,1627236000
46,Kruisfontein,-34.0033,24.7314,57.16,41,59,3.13,ZA,1627236000
47,Avarua,-21.2078,-159.775,75.81,87,73,12.03,CK,1627236000
48,Yellowknife,62.456,-114.3525,58.82,52,16,4.99,CA,1627236000
49,Tuktoyaktuk,69.4541,-133.0374,50.76,93,93,21.79,CA,1627236000
50,Kahului,20.8947,-156.47,78.91,87,9,12.3,US,1627236000
51,Jamestown,42.097,-79.2353,78.12,68,65,8.77,US,1627236000
52,Saint George,37.1041,-113.5841,89.8,48,12,1.77,US,1627236000
53,Hong Kong,22.2855,114.1577,85.24,83,10,10.2,HK,1627236000
54,Winchester,51.0651,-1.3187,66.0,83,83,9.08,GB,1627236000
55,Acaraú,-2.8856,-40.12,89.08,45,35,17.49,BR,1627236000
56,Airai,-8.9266,125.4092,55.54,57,36,3.06,TL,1627236000
57,Mataura,-46.1927,168.8643,43.36,89,100,4.59,NZ,1627236000
58,Atasū,48.6814,71.6433,80.04,44,21,18.21,KZ,1627236000
59,Saint-Philippe,-21.3585,55.7679,69.06,77,37,11.39,RE,1627236000
60,Bluff,-46.6,168.3333,47.28,82,100,5.91,NZ,1627236000
61,Dikson,73.5069,80.5464,39.07,89,24,13.18,RU,1627236000
62,Cabo San Lucas,22.8909,-109.9124,86.45,65,2,7.27,MX,1627236000
63,Bengkulu,-3.8004,102.2655,76.96,89,3,4.83,ID,1627236000
64,Manokwari,-0.8667,134.0833,78.69,77,98,4.83,ID,1627236000
65,Barrow,71.2906,-156.7887,39.22,93,93,12.53,US,1627236000
66,Chake Chake,-5.2459,39.7666,74.89,64,1,16.91,TZ,1627236000
67,Hobart,-42.8794,147.3294,43.0,74,49,9.66,AU,1627236000
68,Lusambo,-4.9667,23.45,89.58,22,63,2.93,CD,1627236000
69,Port Lincoln,-34.7333,135.8667,55.49,86,20,17.36,AU,1627236000
70,Mehamn,71.0357,27.8492,47.08,78,83,16.02,NO,1627236000
71,Kaitangata,-46.2817,169.8464,47.66,71,100,4.85,NZ,1627236000
72,Kaoma,-14.7833,24.8,67.44,30,0,6.76,ZM,1627236000
73,Ust-Tsilma,65.441,52.1498,48.31,92,99,6.87,RU,1627236000
74,Hithadhoo,-0.6,73.0833,80.87,77,77,3.24,MV,1627236000
75,Kapaa,22.0752,-159.319,77.58,84,73,13.87,US,1627236000
76,Yamandu,7.9362,-11.4928,77.31,93,95,4.03,SL,1627236000
77,Egvekinot,66.3167,-179.1667,44.62,91,100,1.66,RU,1627236000
78,Bitung,1.4451,125.1824,81.97,86,95,14.61,ID,1627236000
79,Katsuura,35.1333,140.3,76.84,86,5,11.43,JP,1627236000
80,Ballina,-28.8667,153.5667,48.18,63,0,6.73,AU,1627236000
81,Hauterive,46.0901,3.4459,73.33,62,92,5.28,FR,1627236000
82,São Filipe,14.8961,-24.4956,74.41,72,63,7.7,CV,1627236000
83,Saint Paul Harbor,57.79,-152.4072,50.36,89,50,1.28,US,1627236000
84,Bathsheba,13.2167,-59.5167,85.89,77,79,14.72,BB,1627236000
85,Carnarvon,-24.8667,113.6333,63.79,68,0,8.93,AU,1627236000
86,Sitka,57.0531,-135.33,55.04,86,83,1.97,US,1627236000
87,Merrill,45.1805,-89.6835,80.67,51,1,10.33,US,1627236000
88,Keti Bandar,24.1447,67.4497,83.41,81,97,18.72,PK,1627236000
89,Los Llanos de Aridane,28.6585,-17.9182,74.61,74,15,12.68,ES,1627236000
90,Gemeente Barendrecht,51.85,4.5333,70.43,81,53,1.86,NL,1627236000
91,San Patricio,28.017,-97.5169,93.2,56,5,10.49,US,1627236000
92,Cidreira,-30.1811,-50.2056,74.28,53,10,6.53,BR,1627236000
93,Nicoya,10.1483,-85.452,84.02,76,98,2.68,CR,1627236000
